shopify_product_handle,wp_product_id,wp_product_slug,variant_label,batch_id,purity,avg_purity,vials_tested,labeled_content,net_content,net_content_delta,endotoxins,heavy_metals,sterility,test_type,tested_at,coa_url,coa_file_path,is_current
wolverine,,bpc-157-tb-500-wolverine,BPC-157/TB-500,BT324,99.91,99.91,1,10mg,11.72mg,1.72mg,Pass,Not Tested,Not Tested,HPLC-UV,2026-01-19,https://vyxebq-j8.myshopify.com/cdn/shop/files/BPC-157_TB-500_10mg_-_BT324.pdf,BPC-157_TB-500_10mg_-_BT324.pdf,0
glow,,,GLOW,GL133,99.58,99.58,1,70mg,79.24mg,9.24mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2026-02-13,https://vyxebq-j8.myshopify.com/cdn/shop/files/Glow_70mg_-_GL133.pdf,Glow_70mg_-_GL133.pdf,0
selank,,,10mg,SL154,99.17,99.17%,1,10mg,11.65mg,1.65mg,Not Tested,Not Tested,Not Tested,HPLC,2026-02-13,https://vyxebq-j8.myshopify.com/cdn/shop/files/Selank_10mg_-_SL154_fb33f650-c7dd-4c17-8356-327765cdf620.pdf?v=11935089522787909848,Selank_10mg_-_SL154_fb33f650-c7dd-4c17-8356-327765cdf620.pdf,1
semax,,,10mg,S104,99.52,99.52,1,SEMAX 10mg,11.65,1.65,Not Tested,Not Tested,Not Tested,HPLC,2026-02-13,https://vyxebq-j8.myshopify.com/cdn/shop/files/Semax_10mg_-_S104_09a47613-7ff1-4795-8c8f-041dcaba9812.pdf?v=16480090994762635979,Semax_10mg_-_S104_09a47613-7ff1-4795-8c8f-041dcaba9812.pdf,1
ghk-cu,,,GHK-CU,GH203,99.815,99.815,1,50mg,57.82mg,7.82mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2025-11-04,https://vyxebq-j8.myshopify.com/cdn/shop/files/26-1.pdf?v=10767557572085375450,26-1.pdf,0
ghk-cu,,,GHK-CU,GH287,99.94,99.94,1,50mg,51.20mg,1.20mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2026-01-13,https://vyxebq-j8.myshopify.com/cdn/shop/files/26.pdf?v=13931173179589203745,26.pdf,0
nad,,,10MG,N254,99.58,99.58,1,500mg,511.38mg,11.38mg,Not Tested,Not Tested,Not Tested,HPLC,2026-03-21,https://vyxebq-j8.myshopify.com/cdn/shop/files/NAD_500mg_-_N254_962f1ae8-4c0b-4bfb-b7d1-fcaa79426e24.pdf?v=8901036291430777841,NAD_500mg_-_N254_962f1ae8-4c0b-4bfb-b7d1-fcaa79426e24.pdf,1
bpc-157,,,BPC-157,B085,99.24,99.24,1,10mg,10.24mg,.24mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2025-09-18,https://vyxebq-j8.myshopify.com/cdn/shop/files/BPC-157_10mg_-_B085.pdf?v=18104703274860025450,BPC-157_10mg_-_B085.pdf,0
bpc-157,,,BPC-157,B164,99.13,99.13,1,10mg,10.38mg,.38mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2025-12-03,https://vyxebq-j8.myshopify.com/cdn/shop/files/BPC-157_10mg_-_B164.pdf?v=3660467239365932005,BPC-157_10mg_-_B164.pdf,0
bpc-157,,,BPC-157,B334,99.58,99.58,1,10mg,10.23mg,.23mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2026-02-13,https://vyxebq-j8.myshopify.com/cdn/shop/files/BPC-157_10mg_-_B334.pdf?v=17903764125336927145,BPC-157_10mg_-_B334.pdf,0
glp-3-rt,,,GLP-3 RT,G170,99.711,99.711,1,10mg,10.82mg,.82mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2025-10-21,https://vyxebq-j8.myshopify.com/cdn/shop/files/GLP-3_RT_10mg_-_G170.pdf,GLP-3_RT_10mg_-_G170.pdf,0
glp-3-rt,,,GLP-3 RT,G236,99.83,99.83,1,10mg,10.19mg,.19mg,Not Tested,Not Tested,Not Tested,HPLC-UV,2026-01-09,https://vyxebq-j8.myshopify.com/cdn/shop/files/GLP-3_RT_10mg_-_G236.pdf,GLP-3_RT_10mg_-_G236.pdf,0
